TAD_caller	C. crescentus	B. subtilis	E. coli	M. pneumoniae HindIII	M. pneumoniae HpaII	S.acidocaldarius
lava.armatus	0.684	0.559	0.436	0.388	0.392	0.602
lava.modularity	0.892	0.833	0.686	0.451	0.547	0.939
lava.corner	0.64	0.403	0.39	0.327	0.312	0.634
lava.variance	0.774	0.321	0.405	0.311	0.3	0.146
Armatus	0.526	0.167	0.438	0.263	0.293	0.529
Arrowhead	0.391	0.333	0.261	0	0	0.3
HiCExplorer	0.538	0.409	0.333	0.333	0	0.429
TopDom	0.754	0.5	0.351	0.333	0.413	0.659
HiCseg	0.862	0.647	0.495	0.655	0.5	0.584
TADtool.directionality	0.842	0.5	0.56	0.495	0.459	0.513
TADtool.insulation	0.622	0.429	0.429	0.219	0.379	0.282
TADtree	0.256	0.22	0.152	0.219	0.249	0.295
TADbit	0.818	0.211	0.535	0.466	0.5	0.545
SpectralTAD	0.192	0.476	0.308	0.263	0.304	0.323
ClusterTAD	0.509	0.215	0.267	0.125	0.542	0.402
Directionality_Index	0.6	0.611	0.505	0.156	0.455	0.651
CHDF	0.661	0.378	0.147	0.111	0.367	0.189
OnTAD	0.278	0.522	0.312	0.091	0.185	0.383
deDoc	0.238	0.074	0.587	0	0	0.28
MrTADFinder	0.6	0.222	0.38	0.313	0.308	0.381
EAST	0.545	0.111	0.631	0	0	0
Chromosight	0.8	0.429	0.351	0.529	0.422	0.509
IC-Finder	0	0.236	0.368	0	0.176	0.235
spectral	0.195	0.143	0.164	0.28	0.46	0.384
Insulation_Score	0.686	0.722	0.441	0.174	0.389	0.73
GMAP	0.067	0.25	0.158	0.25	0.128	0.219
CaTCH	0.786	0.515	0.588	0.444	0.589	0.272
chromoR	0.269	0.524	0.172	0.391	0.187	0.27
TADpole	0.5	0	0.13	0.082	0.68	0.354
