TAD_caller	C. crescentus	B. subtilis	E. coli	M. pneumoniae HindIII	M. pneumoniae HpaII	S.acidocaldarius
lava.armatus	24.5	23.5	40	17.5	10.8	8.6
lava.modularity	18	28	22	37	43.4	11
lava.corner	46	24	20.5	35.5	35.4	18
lava.variance	27.5	17.5	13	15	2.2	3.3
Armatus	15	7	11.5	6	7	18.6
Arrowhead	8	2	14.5	0	0	3.3
HiCExplorer	10	15.5	31	1	0	2
TopDom	28.5	16.5	26	7	10.4	8
HiCseg	14	28.5	36	12.5	16.8	13
TADtool.directionality	17.5	39	97.5	35.5	30.2	24.3
TADtool.insulation	16	23	16	25.5	32	11.6
TADtree	14	12.5	9.5	10	10	4
TADbit	15.5	35	139	43	41.8	10
SpectralTAD	16	16	44	6.5	6	3
ClusterTAD	22	20	42	16	18.6	15
Directionality_Index	30	14.5	39.5	13.5	16.2	11
CHDF	46.5	25.5	19.5	10	6.2	7.6
OnTAD	12	10	10.5	6	8.6	5
deDoc	19.5	18.5	136.5	0	0	15.3
MrTADFinder	18	16.5	59	22	22.2	7.3
EAST	8.5	7.5	225.5	0	0	0
Chromosight	14	18	26.5	7	5.2	4.6
IC-Finder	0	27.5	71.5	0	21.25	10.6
spectral	24.5	28	105	24	22.8	8
Insulation_Score	22	16	25	14	15.6	9
GMAP	4	5	11	2.5	3.8	4.6
CaTCH	72	39	13.5	32.5	18.2	7.6
chromoR	16.5	8	25.5	8	9.25	1.6
TADpole	12	6	7	16	2	6
