TAD_caller	Ecoli_20M_10kb_rep1	Ecoli_20M_10kb_rep2	Ecoli_20M_5kb_rep1	Ecoli_20M_5kb_rep2
Armatus	0.17	0.17	0.63	0.64
Arrowhead	2.51	2.65	3.75	3.67
CaTCH	2.973	2.874	9.485	9.048
CHDF	2.90	2.94	27.33	27.34
chromoR	4.617	4.891	17.058	18.572
Chromosight	1.96	1.88	3.04	3.03
ClusterTAD	29.15	31.85	330.83	167.18
deDoc	6.34	5.66	20.11	20.96
Directionality_Index	1.031	1.042	1.466	1.445
EAST	2.04	1.95	2.41	2.56
GMAP	40.546	40.465	84.722	81.528
HiCExplorer	2.72	2.78	4.53	4.54
HiCseg	0.14	0.14	1.24	1.25
IC-Finder	34.96	35.67	89.879	87.2
Insulation_Score	1.48	1.47	3.24	3.28
lava.armatus	0.017	0.018	0.066	0.066
lava.corner	0.33	0.33	1.36	1.37
lava.modularity	0.016	0.017	0.056	0.054
lava.variance	0.031	0.032	0.13	0.13
MrTADFinder	48.14	48.13	113.58	113.90
OnTAD	0.30	0.31	0.77	0.68
spectral	1.24	1.27	5.31	5.33
SpectralTAD	0.49	0.42	1.47	1.54
TADbit	164.49	195.87	1534.30	1313.27
TADpole	68.86	72.389	258.956	445.043
TADtool.directionality	1.04	1.04	3.36	3.41
TADtool.insulation	0.59	0.74	1.82	1.79
TADtree	446.26	430.99	460.50	450.41
TopDom	1.05	1.05	2.96	2.96
