TAD_caller	C. crescentus	B. subtilis	E. coli	M. pneumoniae HindIII	M. pneumoniae HpaII	S.acidocaldarius
lava.armatus	50000	70000	65000	18000	21000	150000
lava.modularity	210000	150000	215000	18000	12000	180000
lava.corner	60000	75000	95000	15000	15000	75000
lava.variance	60000	40000	337500	15000	12000	60000
Armatus	70000	75000	25000	15000	12000	82500
Arrowhead	250000	450000	105000	0	0	255000
HiCExplorer	330000	200000	107500	237000	0	405000
TopDom	110000	170000	110000	87000	60000	180000
HiCseg	270000	90000	90000	66000	48000	105000
TADtool.directionality	70000	50000	25000	12000	15000	60000
TADtool.insulation	145000	55000	117500	21000	18000	105000
TADtree	330000	200000	210000	85500	75000	705000
TADbit	180000	60000	30000	18000	18000	165000
SpectralTAD	140000	110000	55000	51000	57000	960000
ClusterTAD	170000	190000	57500	27000	18000	120000
Directionality_Index	115000	210000	110000	45000	48000	180000
CHDF	80000	50000	20000	15000	12000	60000
OnTAD	260000	250000	115000	30000	27000	225000
deDoc	200000	130000	30000	0	0	127500
MrTADFinder	40000	50000	25000	12000	15000	105000
EAST	460000	740000	20000	0	0	0
Chromosight	120000	110000	120000	27000	142500	465000
IC-Finder	0	40000	40000	0	15000	75000
spectral	150000	60000	25000	13500	15000	210000
Insulation_Score	170000	240000	142500	52500	42000	240000
GMAP	610000	490000	310000	156000	96000	337500
CaTCH	40000	40000	20000	12000	12000	60000
chromoR	160000	435000	145000	85500	64500	1605000
TADpole	350000	640000	677500	58500	409500	360000
