TAD_caller	1M	3M	5M	10M
lava.armatus	120000	130000	125000	140000
lava.modularity	240000	210000	215000	210000
lava.corner	130000	130000	100000	105000
lava.variance	200000	360000	280000	260000
Armatus	55000	60000	40000	60000
Arrowhead		220000	160000	200000
HiCExplorer	230000	215000	310000	260000
TopDom	210000	150000	110000	170000
HiCseg	120000	120000	130000	120000
TADtool.directionality	70000	80000	80000	70000
TADtool.insulation	90000	100000	130000	100000
TADtree	355000	340000	300000	340000
TADbit	50000	60000	50000	50000
SpectralTAD	140000	140000	150000	145000
ClusterTAD	205000	110000	115000	180000
Directionality_Index	150000	150000	140000	140000
CHDF	40000	40000	40000	40000
OnTAD	180000	160000	125000	200000
deDoc	70000	70000	70000	60000
MrTADFinder	90000	90000	80000	110000
EAST	100000	100000	100000	100000
Chromosight	245000	200000	210000	190000
IC-Finder	230000	215000	190000	110000
spectral	50000	40000	40000	50000
Insulation_Score	260000	240000	235000	240000
GMAP	2025000	1985000	2025000	2035000
CaTCH	40000	40000	40000	40000
chromoR	230000	230000	330000	330000
TADpole	840000	700000	865000	835000
