TAD_caller	3kb	5kb	10kb	15kb
lava.armatus	30000	65000	90000	135000
lava.modularity	112500	105000	110000	120000
lava.corner	87000	97500	100000	135000
lava.variance	213000	285000	350000	345000
Armatus	12000	25000	60000	120000
Arrowhead	90000	107500	330000	465000
HiCExplorer	108000	192500	170000	210000
TopDom	36000	40000	130000	165000
HiCseg	102000	142500	120000	97500
TADtool.directionality	21000	57500	70000	90000
TADtool.insulation	33000	72500	135000	150000
TADtree	102000	180000	275000	315000
TADbit	18000	30000	50000	90000
SpectralTAD	30000	60000	145000	225000
ClusterTAD	51000	85000	290000	165000
Directionality_Index	76500	105000	140000	172500
CHDF	15000	20000	40000	60000
OnTAD	76500	105000	185000	225000
deDoc	15000	30000	70000	90000
MrTADFinder	12000	30000	80000	90000
EAST	12000	20000	100000	210000
Chromosight	66000	130000	190000	480000
IC-Finder	27000	40000	80000	90000
spectral	12000	20000	70000	90000
Insulation_Score	72000	120000	140000	195000
GMAP	240000	332500	2030000	2032500
CaTCH	12000	20000	40000	60000
chromoR	84000	150000	330000	555000
TADpole	412500	330000	830000	862500
