TAD_caller	Coverage	Resolution	JI
lavaburst_modularity	0.925021	0.752183	0.7595
HiCseg	0.86917	0.637454	0.6155
Insulation_Score	0.837768	0.63139	0.5635
Directionality_Index	0.839819	0.735209	0.5525
CaTCH	0.720813	0.030906	0.5515
TADbit	0.874005	0.457258	0.5175
TADtool_directionality	0.719141	0.311619	0.5065
lavaburst_armatus	0.858286	0.537104	0.4975
Chromosight	0.845347	0.4978	0.469
TopDom	0.725132	0.461516	0.4565
TADtool_insulation	0.688097	0.378086	0.404
lavaburst_corner	0.726492	0.774517	0.3965
HiCExplorer	0.640102	0.485628	0.371
Armatus	0.731542	0.075901	0.3655
MrTADFinder	0.744937	0.191459	0.3465
ClusterTAD	0.761057	0.443803	0.3345
lavaburst_variance	0.766227	0.66419	0.316
SpectralTAD	0.867837	0.511597	0.306
OnTAD	0.575465	0.492645	0.295
Arrowhead	0.0679106	0.191564	0.2805
CHDF	0.197812	0.0214869	0.278
chromoR	0.731173	0.421089	0.2695
TADpole	0.788869	0.604241	0.242
spectral	0.375947	0.259354	0.2375
TADtree	0.866098	0.474924	0.2345
IC-Finder	0.585499	0.450928	0.2055
GMAP	0.892328	0.404102	0.1885
deDoc	0.795591	0.464833	0.156
EAST	0.903342	0.357485	0.0555
